Tm,League,National,American,Active,#Bat,BatAge,R/G,G,W,PA,AB,R,H,Doubles,Triples,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPSPlus,TB,GDP,HBP,SH,SF,IBB,LOB
ARI,0,1,,1,46.8,28.4,23.43,708,354,27194,24280,3339,6068,1247,197,864,3176,430,107,2322,6164,0.2486,0.3188,0.4198,0.7388,454,10301,490,262,152,173,164,4835
ATL,0,1,,1,53,28.22,24.32,707,362,27305,24314,3343,6292,1305,114,814,3200,354,133,2345,5754,0.2602,0.3312,0.4296,0.7612,489,10267,524,274,198,169,222,5005
BAL,1,,1,1,51.2,27.66,22.09,708,290,26694,24303,3112,6101,1130,65,963,2978,235,92,1908,6097,0.2518,0.3116,0.4226,0.7342,485,10250,532,249,77,155,63,4595
BOS,1,,1,1,47.4,27.56,26.11,708,402,27739,24815,3732,6674,1463,109,910,3535,413,125,2475,5564,0.2684,0.3372,0.4464,0.7838,530,11085,586,221,48,177,164,5012
CHC,0,1,,1,48.2,27.46,24.17,709,408,27396,24002,3470,6064,1205,127,919,3305,263,137,2664,6156,0.2482,0.3326,0.423,0.7558,496,10280,517,391,161,167,208,5065
CHW,1,,1,1,49.4,27.34,22.14,707,314,26570,24162,3062,6149,1146,136,814,2935,329,144,1838,6396,0.2552,0.3146,0.419,0.7336,492,10009,503,285,125,154,65,4678
CIN,0,1,,1,48.4,27.8,21.75,708,309,26770,23795,3109,5915,1088,126,872,2974,445,170,2307,5959,0.2438,0.32,0.4134,0.733,450,9871,528,311,187,161,142,4770
CLE,1,,1,1,46.2,28.4,23.81,707,415,27060,23974,3430,6131,1320,100,895,3264,485,135,2491,5437,0.2524,0.328,0.4234,0.7516,486,10336,510,253,126,211,112,4865
COL,0,1,,1,43.8,28.34,24.83,709,350,27160,24406,3559,6502,1298,184,893,3413,333,146,2170,6181,0.2652,0.3266,0.4394,0.766,449,10847,522,188,216,174,156,4708
DET,1,,1,1,48,28.5,20.99,704,284,26421,24018,2946,6033,1195,153,744,2813,269,119,1962,6119,0.2502,0.3104,0.4054,0.7158,457,9766,523,224,53,161,86,4682
HOU,1,,1,1,43.6,28.32,25.25,708,424,27244,24214,3616,6354,1341,107,998,3465,360,150,2465,5342,0.2596,0.3316,0.4446,0.776,546,10903,614,267,68,207,99,4782
KCR,1,,1,1,47.8,28.28,20.84,708,304,26422,24077,2954,6077,1185,133,725,2798,495,163,1827,5632,0.2512,0.3092,0.403,0.7122,449,9703,558,234,111,163,75,4565
LAA,1,,1,1,54,29.08,22.91,708,332,26781,23880,3211,5916,1144,86,861,3073,384,128,2333,5255,0.248,0.3212,0.4134,0.7346,490,9815,591,286,70,194,126,4691
LAD,0,1,,1,48.6,28.16,25.45,709,436,27311,24033,3534,6054,1279,100,1042,3354,283,96,2656,5964,0.2522,0.3324,0.4486,0.7808,541,10659,504,294,158,166,173,4930
MIA,0,1,,1,51.6,28.32,20.71,706,307,26677,24084,2900,6058,1099,120,656,2763,313,133,1974,5885,0.2504,0.3146,0.3882,0.7024,454,9365,554,292,165,152,136,4854
MIL,0,1,,1,49.2,28.22,22.16,709,373,26903,23801,3173,5855,1130,87,961,3029,549,165,2533,6717,0.2428,0.3218,0.4174,0.7392,470,10042,548,255,144,154,150,4829
MIN,1,,1,1,49.6,27.72,24.33,708,359,27220,24370,3483,6247,1290,114,970,3339,275,115,2351,5958,0.2546,0.3242,0.4362,0.7608,523,10675,429,237,84,175,105,4845
NYM,0,1,,1,50.8,28.46,22.5,708,346,27030,24084,3159,5999,1177,105,940,3056,247,117,2325,5879,0.2518,0.3248,0.4282,0.7532,519,10206,539,332,128,160,152,4896
NYY,1,,1,1,50,28.54,25.82,708,411,27139,24065,3647,6181,1157,90,1091,3494,307,94,2536,5912,0.2554,0.3328,0.448,0.7808,542,10791,511,247,60,208,85,4820
OAK,1,,1,1,49,28.26,23.4,708,374,26873,24012,3324,5917,1280,90,958,3184,217,90,2373,5879,0.2436,0.3194,0.4228,0.7424,514,10251,591,278,41,168,74,4668
PHI,0,1,,1,50,27.28,22.09,708,326,26745,23912,3057,5826,1160,137,818,2912,337,122,2291,6246,0.2454,0.3182,0.4104,0.7284,462,9714,479,254,141,142,154,4790
PIT,0,1,,1,50.6,27.9,21.25,707,323,26825,24036,3066,6060,1207,150,683,2928,327,159,2146,5510,0.248,0.3144,0.3944,0.709,445,9616,527,302,168,165,163,4821
SDP,0,1,,1,52,26.8,21.4,708,312,26264,23624,2914,5602,1061,123,842,2777,434,164,2088,6582,0.2398,0.3072,0.4078,0.7148,468,9435,471,225,172,150,103,4401
